Date,Close/Last,Volume,Open,High,Low
03/25/2022,25.615,36567,25.85,26.035,25.47
03/24/2022,25.92,57625,25.285,26.16,25.17
03/23/2022,25.189,33179,24.915,25.37,24.78
03/22/2022,24.904,42579,25.41,25.59,24.695
03/21/2022,25.313,33690,25.15,25.52,25.05
03/18/2022,25.087,36077,25.595,25.64,24.98
03/17/2022,25.616,38017,25.24,25.75,25.165
03/16/2022,24.71,43988,25.115,25.25,24.55
03/15/2022,25.158,45952,25.26,25.315,24.75
03/14/2022,25.298,50948,26.28,26.29,25.16
03/11/2022,26.16,49495,26.255,26.35,25.695
03/10/2022,26.256,54641,26.06,26.425,25.6
03/09/2022,25.816,83393,26.925,27.39,25.73
03/08/2022,26.895,121212,25.805,27.495,25.55
03/07/2022,25.72,77213,26.025,26.37,25.465
03/04/2022,25.789,65533,25.285,25.92,25.155
03/03/2022,25.212,53944,25.45,25.665,25.075
03/02/2022,25.19,65990,25.505,25.545,24.96
03/01/2022,25.541,64008,24.455,25.65,24.345
02/28/2022,24.366,53160,24.62,24.88,24.155
02/25/2022,24.017,65754,24.33,24.55,23.92
02/24/2022,24.71,89079,24.65,25.705,23.88
02/23/2022,24.598,36607,24.2,24.66,24.095
02/22/2022,24.356,41701,24.095,24.425,23.755
02/18/2022,24.038,17562,23.9,24.165,23.745
02/17/2022,23.922,14657,23.675,23.975,23.48
02/16/2022,23.654,15640,23.45,23.71,23.34
02/15/2022,23.39,13459,23.935,24.06,23.125
02/14/2022,23.897,9286,23.65,24.015,23.605
02/11/2022,23.369,70913,23.205,23.71,22.855
02/10/2022,23.522,72504,23.31,23.735,23.145
02/09/2022,23.341,47608,23.195,23.365,23.095
02/08/2022,23.2,46955,23.025,23.265,22.77
02/07/2022,23.076,53794,22.535,23.11,22.5
02/04/2022,22.475,45473,22.42,22.69,22.1
02/03/2022,22.375,51746,22.65,22.66,21.985
02/02/2022,22.707,36340,22.64,22.875,22.465
02/01/2022,22.595,46139,22.49,23.06,22.405
01/31/2022,22.393,37266,22.475,22.655,22.25
01/28/2022,22.301,61854,22.79,22.83,22.15
01/27/2022,22.676,79283,23.565,23.625,22.585
01/26/2022,23.807,54823,23.85,24.025,23.46
01/25/2022,23.896,52467,24.045,24.045,23.635
01/24/2022,23.8,70723,24.305,24.36,23.595
01/21/2022,24.32,59951,24.525,24.64,24.205
01/20/2022,24.716,70806,24.185,24.755,24.125
01/19/2022,24.231,70644,23.505,24.265,23.43
01/18/2022,23.492,102213,22.995,23.68,22.82
01/14/2022,22.918,49788,23.115,23.345,22.845
01/13/2022,23.162,50043,23.19,23.315,23.025
